group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,1005800.0,ns,842726
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,2140700.0,ns,1685452
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,2973900.0,ns,2528178
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,3984100.0,ns,3370904
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,4962300.0,ns,4213630
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,5954900.0,ns,5056356
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,6936500.0,ns,5899082
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,7934700.0,ns,6741808
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,8926500.0,ns,7584534
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,9929600.0,ns,8427260
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,10925500.0,ns,9269986
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,11878900.0,ns,10112712
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,12897600.0,ns,10955438
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,13893500.0,ns,11798164
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,14893300.0,ns,12640890
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,15874400.0,ns,13483616
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,16845900.0,ns,14326342
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,17852600.0,ns,15169068
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,18870300.0,ns,16011794
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,19820300.0,ns,16854520
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,20818300.0,ns,17697246
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,21836800.0,ns,18539972
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,22802400.0,ns,19382698
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,23832000.0,ns,20225424
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,24780100.0,ns,21068150
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,25786900.0,ns,21910876
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,26801700.0,ns,22753602
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,27759100.0,ns,23596328
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,28766300.0,ns,24439054
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,29728100.0,ns,25281780
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,30737800.0,ns,26124506
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,31721900.0,ns,26967232
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,32734400.0,ns,27809958
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,33715400.0,ns,28652684
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,34743300.0,ns,29495410
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,35684900.0,ns,30338136
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,36720600.0,ns,31180862
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,37740000.0,ns,32023588
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,39013800.0,ns,32866314
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,39718200.0,ns,33709040
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,40717800.0,ns,34551766
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,41694700.0,ns,35394492
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,42674300.0,ns,36237218
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,43739800.0,ns,37079944
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,44658700.0,ns,37922670
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,45749100.0,ns,38765396
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,46674700.0,ns,39608122
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,47643600.0,ns,40450848
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,48710900.0,ns,41293574
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,49555000.0,ns,42136300
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,49837700.0,ns,42979026
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,50894800.0,ns,43821752
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,52043500.0,ns,44664478
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,52885900.0,ns,45507204
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,53862600.0,ns,46349930
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,54878300.0,ns,47192656
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,55817700.0,ns,48035382
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,56808300.0,ns,48878108
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,57845400.0,ns,49720834
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,58760500.0,ns,50563560
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,59809100.0,ns,51406286
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,60813600.0,ns,52249012
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,62461500.0,ns,53091738
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,63567400.0,ns,53934464
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,64628800.0,ns,54777190
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,65609900.0,ns,55619916
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,66497200.0,ns,56462642
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,67550800.0,ns,57305368
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,68548500.0,ns,58148094
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,69558800.0,ns,58990820
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,70670600.0,ns,59833546
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,71571500.0,ns,60676272
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,72408200.0,ns,61518998
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,73503600.0,ns,62361724
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,74345000.0,ns,63204450
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,75602700.0,ns,64047176
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,76365000.0,ns,64889902
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,77497600.0,ns,65732628
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,78328100.0,ns,66575354
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,79682500.0,ns,67418080
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,80550200.0,ns,68260806
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,81909500.0,ns,69103532
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,82374200.0,ns,69946258
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,83504600.0,ns,70788984
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,84553400.0,ns,71631710
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,85295100.0,ns,72474436
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,86594200.0,ns,73317162
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,87344300.0,ns,74159888
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,88312300.0,ns,75002614
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,89433700.0,ns,75845340
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,90400900.0,ns,76688066
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,91366900.0,ns,77530792
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,92344600.0,ns,78373518
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,93645500.0,ns,79216244
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,94425600.0,ns,80058970
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,95667000.0,ns,80901696
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,96311100.0,ns,81744422
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,97710300.0,ns,82587148
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,98258200.0,ns,83429874
read_u64,fixed-wrapping_v0_xqword_unsafe,1024,,,99305500.0,ns,84272600
